,stenutz_name,cosmo_name,other_name,cas_number,chemical_formula,smiles
0,(trichloromethyl)benzene,(trichloromethyl)-benzene,,98-07-7,C7H5Cl3,ClC(Cl)(Cl)c1ccccc1
1,"(1Z,5Z)-cycloocta-1,5-diene","1,5-cyclooctadiene",,111-78-4,C8H12,C\1C\C=C/CC\C=C1
2,"(2E,4E)-2,4-hexadiene","trans,trans-2,4-hexadiene",,5194-51-4,C6H10,C/C=C/C=C/C
3,(dichloromethyl)benzene,(dichloromethyl)-benzene,,98-87-3,C7H6Cl2,ClC(Cl)c1ccccc1
4,"(E)-1,3-pentadiene",1-trans-3-pentadiene,,2004-70-8,C5H8,C/C=C/C=C
5,(E)-2-butenenitrile,(e)-2-butenenitrile,,627-26-9,C4H5N,C/C=C/C#N
6,(Z)-3-hexene,cis-3-hexene,,592-47-2,C6H12,CC\C=C\CC
7,"1,1,1-trichloroethane",glycerol,,71-55-6,C2H3Cl3,CC(Cl)(Cl)Cl
8,"1,1,1-trichlorotrifluoroethane","1,1,1-trichloro-2,2,2-trifluoroethane",,354-58-5,C2Cl3F3,FC(F)(F)C(Cl)(Cl)Cl
9,"1,1,2,2-tetrabromoethane","1,1,2,2-tetrabromoethane",,79-27-6,C2H2Br4,BrC(Br)C(Br)Br
10,"1,1,2,2-tetrachloroethane","1,1,2,2-tetrachloroethane",,79-34-5,C2H2Cl4,ClC(Cl)C(Cl)Cl
11,"1,1,2-trichloro-1,2,2-trifluoroethane","1,1,2-trichloro-1,2,2-trifluoroethane",,76-13-1,C2Cl3F3,FC(F)(Cl)C(F)(Cl)Cl
12,"1,1,2-trichloroethane","1,1,2-trichloroethane",,79-00-5,C2H3Cl3,ClCC(Cl)Cl
13,"1,1-dichloroethane","1,1-dichloroethane",,75-34-3,C2H4Cl2,CC(Cl)Cl
14,"1,1-dichloroethene","1,1-dichloroethylene",,75-35-4,C2H2Cl2,ClC(Cl)=C
15,"1,1-diethoxyethane","1,1-diethoxyethane",,105-57-7,C6H14O2,CCOC(C)OCC
16,"1,1-diethoxymethane",diethoxymethane,,462-95-3,C5H12O2,CCOCOCC
17,"1,2,3,4-tetrachlorobenzene","1,2,3,4-tetrachlorobenzene",,634-66-2,C6H2Cl4,Clc1ccc(Cl)c(Cl)c1Cl
18,"1,2,3,4-tetramethylbenzene","1,2,3,4-tetramethylbenzene",,488-23-3,C10H14,Cc1ccc(C)c(C)c1C
19,"1,2,3-propanetriol",glycerol,,56-81-5,C3H8O3,OCC(O)CO
20,"1,2,3-tribromopropane",indane,,496-11-7,C3H5Br3,C1Cc2ccccc2C1
21,"1,2,3-trichloropropane","1,2,3-trichloropropane",,96-18-4,C3H5Cl3,ClCC(Cl)CCl
22,"1,2,4-trichlorobenzene","1,2,4-trichlorobenzene",,120-82-1,C6H3Cl3,Clc1ccc(Cl)c(Cl)c1
23,"1,2-diaminoethane","1,2-diaminoethane",,107-15-3,C2H8N2,NCCN
24,"1,2-dibromoethane","1,2-dibromoethane",,106-93-4,C2H4Br2,BrCCBr
25,"1,2-dichlorobenzene","1,2-dichlorobenzene",,95-50-1,C6H4Cl2,Clc1ccccc1Cl
