smiles_1,smiles_2,smiles_3,smiles_4,smiles_5
C1=C\CC/C=C\CC/1,C1=CCCC=CCC1,,C1=CCCC=CCC1,C\1C\C=C/CC\C=C1
C/C=C/C=C/C,C/C=C/C=C/C,,CC=CC=CC,C/C=C/C=C/C
ClC(Cl)c1ccccc1,ClC(Cl)c1ccccc1,,ClC(Cl)c1ccccc1,ClC(Cl)c1ccccc1
C=C/C=C/C,,,C=CC=CC,C/C=C/C=C
C/C=C/C#N,,,CC=CC#N,C/C=C/C#N
ClC(Cl)(Cl)c1ccccc1,ClC(Cl)(Cl)c1ccccc1,,ClC(Cl)(Cl)c1ccccc1,ClC(Cl)(Cl)c1ccccc1
CC/C=C\CC,CC/C=C\CC,,CCC=CCC,CC\C=C\CC
ClCCBr,,,ClCCBr,ClCCBr
CC(C)CBr,CC(C)CBr,,CC(C)CBr,CC(C)CBr
CC(C)CCBr,,,CC(C)CCBr,CC(C)CCBr
CCCCBr,,,CCCCBr,CCCCBr
CCCCCCCCCCCCBr,,,CCCCCCCCCCCCBr,CCCCCCCCCCCCBr
CCCCCCCBr,c1cnc2nccnc2c1,,CCCCCCCBr,CCCCCCCBr
CCCCCCBr,,,CCCCCCBr,CCCCCCBr
Brc1cccc2ccccc12,,,Brc1cccc2ccccc12,Brc1cccc2ccccc12
CCCCCCCCBr,,,CCCCCCCCBr,CCCCCCCCBr
CCCCCBr,,,CCCCCBr,CCCCCBr
CCCBr,,,CCCBr,CCCBr
Cc1ccccc1Cl,,,Cc1ccccc1Cl,Cc1ccccc1Cl
CC(C)CCl,CC(C)CCl,,CC(C)CCl,CC(C)CCl
ClCC1CO1,ClCC1CO1,,ClCC1CO1,ClCC1CO1
CC(C)CCCl,CC(C)CCCl,,CC(C)CCCl,CC(C)CCCl
CCCCCl,,,CCCCCl,CCCCCl
CCCCCCCl,,,CCCCCCCl,CCCCCCCl
Clc1cccc2ccccc12,,,Clc1cccc2ccccc12,Clc1cccc2ccccc12
CCCCCCCCCl,,,CCCCCCCCCl,CCCCCCCCCl
CCCCCCl,,,CCCCCCl,CCCCCCl
CCCCl,,,CCCCl,CCCCl
CCCCCCCCCCCCO,CCCCCCCCCCCCO,,CCCCCCCCCCCCO,CCCCCCCCCCCCO
CCc1ccc(C)cc1,,,CCc1ccc(C)cc1,CCc1ccc(C)cc1
CCCCCCS,,,CCCCCCS,CCCCCCS
C=CCCCC,,,C=CCCCC,CCCCC=C
CCCCI,,,CCCCI,CCCCI
CCCCCCI,CCCCCCI,,CCCCCCI,CCCCCCI
CCCCCI,,,CCCCCI,CCCCCI
CCCI,,,CCCI,CC(C)I
COc1ccccc1C,,,COc1ccccc1C,COc1ccccc1C
COc1cccc(C)c1,COc1cccc(C)c1,,COc1cccc(C)c1,COc1cccc(C)c1
COc1ccc(C)cc1,COc1ccc(C)cc1,,COc1ccc(C)cc1,COc1ccc(C)cc1
Cc1cccc2ccccc12,,,Cc1cccc2ccccc12,Cc1cccc2ccccc12
CCC[N+](=O)[O-],,,CCC[N+](=O)[O-],CCC[N+]([O-])=O
C=CCCCCCC,C=CCCCCCC,,C=CCCCCCC,CCCCCCC=C
CCCCCS,,,CCCCCS,CCCCCS
C=CCCC,C=CCCC,,C=CCCC,CCCC=C
CCC(=O)c1ccccc1,CCC(=O)c1ccccc1,,CCC(=O)c1ccccc1,CCC(=O)c1ccccc1
CC(Cl)Cl,,,CC(Cl)Cl,CC(Cl)Cl
C=C(Cl)Cl,C=C(Cl)Cl,,C=C(Cl)Cl,ClC(Cl)=C
CCOC(C)OCC,,,CCOC(C)OCC,CCOC(C)OCC
CCOCOCC,CCOCOCC,,CCOCOCC,CCOCOCC
CC(Cl)(Cl)Cl,,,CC(Cl)(Cl)Cl,CC(Cl)(Cl)Cl
FC(F)(F)C(Cl)(Cl)Cl,FC(F)(F)C(Cl)(Cl)Cl,,FC(F)(F)C(Cl)(Cl)Cl,FC(F)(F)C(Cl)(Cl)Cl
FC(F)(Cl)C(F)(Cl)Cl,,,FC(F)(Cl)C(F)(Cl)Cl,FC(F)(Cl)C(F)(Cl)Cl
