solvent_name_1,solvent_name_2,solvent_name_3,cas_number,chemical_formula,smiles,source
"(1Z,5Z)-cycloocta-1,5-diene","1,5-cyclooctadiene",,111-78-4,C8H12,C\1C\C=C/CC\C=C1,https://doi.org/10.1039/C9SC01844A
"(2E,4E)-2,4-hexadiene","trans,trans-2,4-hexadiene",,5194-51-4,C6H10,C/C=C/C=C/C,https://doi.org/10.1039/C9SC01844A
(dichloromethyl)benzene,(dichloromethyl)-benzene,,98-87-3,C7H6Cl2,ClC(Cl)c1ccccc1,https://doi.org/10.1039/C9SC01844A
"(E)-1,3-pentadiene",1-trans-3-pentadiene,,2004-70-8,C5H8,C/C=C/C=C,https://doi.org/10.1039/C9SC01844A
(E)-2-butenenitrile,(e)-2-butenenitrile,,627-26-9,C4H5N,C/C=C/C#N,https://doi.org/10.1039/C9SC01844A
(trichloromethyl)benzene,(trichloromethyl)-benzene,,98-07-7,C7H5Cl3,ClC(Cl)(Cl)c1ccccc1,https://doi.org/10.1039/C9SC01844A
(Z)-3-hexene,cis-3-hexene,,592-47-2,C6H12,CC\C=C\CC,https://doi.org/10.1039/C9SC01844A
1-bromo-2-chloroethane,,,107-04-0,C2H4BrCl,ClCCBr,https://doi.org/10.1039/C9SC01844A
1-bromo-2-methylpropane,isobutylbromide,,78-77-3,C4H9Br,CC(C)CBr,https://doi.org/10.1039/C9SC01844A
1-bromo-3-methylbutane,,,107-82-4,C5H11Br,CC(C)CCBr,https://doi.org/10.1039/C9SC01844A
1-bromobutane,,,109-65-9,C4H9Br,CCCCBr,https://doi.org/10.1039/C9SC01844A
1-bromododecane,,,143-15-7,C12H25Br,CCCCCCCCCCCCBr,https://doi.org/10.1039/C9SC01844A
1-bromoheptane,"pyrido(2,3-b)pyrazine",,629-04-9,C7H15Br,CCCCCCCBr,https://doi.org/10.1039/C9SC01844A
1-bromohexane,,,111-25-1,C6H13Br,CCCCCCBr,https://doi.org/10.1039/C9SC01844A
1-bromonaphthalene,,,90-11-9,C10H7Br,Brc1cccc2ccccc12,https://doi.org/10.1039/C9SC01844A
1-bromooctane,,,111-83-1,C8H17Br,CCCCCCCCBr,https://doi.org/10.1039/C9SC01844A
1-bromopentane,,,110-53-2,C5H11Br,CCCCCBr,https://doi.org/10.1039/C9SC01844A
1-bromopropane,,,106-94-5,C3H7Br,CCCBr,https://doi.org/10.1039/C9SC01844A
1-chloro-2-methylbenzene,,,95-49-8,C7H7Cl,Cc1ccccc1Cl,https://doi.org/10.1039/C9SC01844A
1-chloro-2-methylpropane,1-chloro-2-methyl-propane,,513-36-0,C4H9Cl,CC(C)CCl,https://doi.org/10.1039/C9SC01844A
"1-chloro-2,3-epoxypropane",(chloromethyl)-oxirane,,106-89-8,C3H5ClO,ClCC1CO1,https://doi.org/10.1039/C9SC01844A
1-chloro-3-methylbutane,isoamylchloride,,107-84-6,C5H11Cl,CC(C)CCCl,https://doi.org/10.1039/C9SC01844A
1-chlorobutane,,,109-69-3,C4H9Cl,CCCCCl,https://doi.org/10.1039/C9SC01844A
1-chlorohexane,,,544-10-5,C6H13Cl,CCCCCCCl,https://doi.org/10.1039/C9SC01844A
1-chloronaphthalene,,,90-13-1,C10H7Cl,Clc1cccc2ccccc12,https://doi.org/10.1039/C9SC01844A
1-chlorooctane,,,111-85-3,C8H17Cl,CCCCCCCCCl,https://doi.org/10.1039/C9SC01844A
1-chloropentane,,,543-59-9,C5H11Cl,CCCCCCl,https://doi.org/10.1039/C9SC01844A
1-chloropropane,,,540-54-5,C3H7Cl,CCCCl,https://doi.org/10.1039/C9SC01844A
1-dodecanol,dodecanol,,112-53-8,C12H26O,CCCCCCCCCCCCO,https://doi.org/10.1039/C9SC01844A
1-ethyl-4-methylbenzene,,,622-96-8,C9H12,CCc1ccc(C)cc1,https://doi.org/10.1039/C9SC01844A
1-hexanethiol,,,111-31-9,C6H14S,CCCCCCS,https://doi.org/10.1039/C9SC01844A
1-hexene,,,592-41-6,C6H12,CCCCC=C,https://doi.org/10.1039/C9SC01844A
1-iodobutane,,,542-69-8,C4H9I,CCCCI,https://doi.org/10.1039/C9SC01844A
1-iodohexane,1-iodo-hexane,,638-45-9,C6H13I,CCCCCCI,https://doi.org/10.1039/C9SC01844A
1-iodopentane,,,628-17-1,C5H11I,CCCCCI,https://doi.org/10.1039/C9SC01844A
1-iodopropane,,,107-08-4,C3H7I,CC(C)I,https://doi.org/10.1039/C9SC01844A
1-methoxy-2-methylbenzene,,,578-58-5,C8H10O,COc1ccccc1C,https://doi.org/10.1039/C9SC01844A
1-methoxy-3-methylbenzene,3-methylanisole,,100-84-5,C8H10O,COc1cccc(C)c1,https://doi.org/10.1039/C9SC01844A
1-methoxy-4-methylbenzene,4-methylanisole,,104-93-8,C8H10O,COc1ccc(C)cc1,https://doi.org/10.1039/C9SC01844A
1-methylnaphthalene,,,90-12-0,C11H10,Cc1cccc2ccccc12,https://doi.org/10.1039/C9SC01844A
1-nitropropane,,,108-03-2,C3H7NO2,CCC[N+]([O-])=O,https://doi.org/10.1039/C9SC01844A
1-octene,octene,,111-66-0,C8H16,CCCCCCC=C,https://doi.org/10.1039/C9SC01844A
1-pentanethiol,,,110-66-7,C5H12S,CCCCCS,https://doi.org/10.1039/C9SC01844A
1-pentene,pentene,,109-67-1,C5H10,CCCC=C,https://doi.org/10.1039/C9SC01844A
1-phenyl-1-propanone,propiophenone,,93-55-0,C9H10O,CCC(=O)c1ccccc1,https://doi.org/10.1039/C9SC01844A
"1,1-dichloroethane",,,75-34-3,C2H4Cl2,CC(Cl)Cl,https://doi.org/10.1039/C9SC01844A
"1,1-dichloroethene","1,1-dichloroethylene",,75-35-4,C2H2Cl2,ClC(Cl)=C,https://doi.org/10.1039/C9SC01844A
"1,1-diethoxyethane",,,105-57-7,C6H14O2,CCOC(C)OCC,https://doi.org/10.1039/C9SC01844A
"1,1-diethoxymethane",diethoxymethane,,462-95-3,C5H12O2,CCOCOCC,https://doi.org/10.1039/C9SC01844A
"1,1,1-trichloroethane",,,71-55-6,C2H3Cl3,CC(Cl)(Cl)Cl,https://doi.org/10.1039/C9SC01844A
"1,1,1-trichlorotrifluoroethane","1,1,1-trichloro-2,2,2-trifluoroethane",,354-58-5,C2Cl3F3,FC(F)(F)C(Cl)(Cl)Cl,https://doi.org/10.1039/C9SC01844A
"1,1,2-trichloro-1,2,2-trifluoroethane",,,76-13-1,C2Cl3F3,FC(F)(Cl)C(F)(Cl)Cl,https://doi.org/10.1039/C9SC01844A
"1,1,2-trichloroethane",,,79-00-5,C2H3Cl3,ClCC(Cl)Cl,https://doi.org/10.1039/C9SC01844A
"1,1,2,2-tetrabromoethane",,,79-27-6,C2H2Br4,BrC(Br)C(Br)Br,https://doi.org/10.1039/C9SC01844A
"1,1,2,2-tetrachloroethane",,,79-34-5,C2H2Cl4,ClC(Cl)C(Cl)Cl,https://doi.org/10.1039/C9SC01844A
"1,2-diaminoethane",,,107-15-3,C2H8N2,NCCN,https://doi.org/10.1039/C9SC01844A
"1,2-dibromoethane",,,106-93-4,C2H4Br2,BrCCBr,https://doi.org/10.1039/C9SC01844A
"1,2-dichlorobenzene",,,95-50-1,C6H4Cl2,Clc1ccccc1Cl,https://doi.org/10.1039/C9SC01844A
"1,2-dichloroethane",,,107-06-2,C2H4Cl2,ClCCCl,https://doi.org/10.1039/C9SC01844A
"1,2-dichloropropane",,,78-87-5,C3H6Cl2,CC(Cl)CCl,https://doi.org/10.1039/C9SC01844A
"1,2-difluorobenzene",o-difluorobenzene,,367-11-3,C6H4F2,Fc1ccccc1F,https://doi.org/10.1039/C9SC01844A
"1,2-dimethoxybenzene",,,91-16-7,C8H10O2,COc1ccccc1OC,https://doi.org/10.1039/C9SC01844A
"1,2-dimethoxyethane",,,110-71-4,C4H10O2,COCCOC,https://doi.org/10.1039/C9SC01844A
"1,2-dimethylbenzene",,,95-47-6,C8H10,Cc1ccccc1C,https://doi.org/10.1039/C9SC01844A
"1,2-diphenylethane","1,1'-(1,2-ethanediyl)bis-benzene",,103-29-7,C14H14,C(Cc1ccccc1)c2ccccc2,https://doi.org/10.1039/C9SC01844A
"1,2-propanediol",propyleneglycol,,57-55-6,C3H8O2,CC(O)CO,https://doi.org/10.1039/C9SC01844A
"1,2,3-propanetriol",glycerol,,56-81-5,C3H8O3,OCC(O)CO,https://doi.org/10.1039/C9SC01844A
"1,2,3-tribromopropane",indane,,496-11-7,C3H5Br3,C1Cc2ccccc2C1,https://doi.org/10.1039/C9SC01844A
"1,2,3-trichloropropane",,,96-18-4,C3H5Cl3,ClCC(Cl)CCl,https://doi.org/10.1039/C9SC01844A
"1,2,3,4-tetrachlorobenzene",,,634-66-2,C6H2Cl4,Clc1ccc(Cl)c(Cl)c1Cl,https://doi.org/10.1039/C9SC01844A
"1,2,3,4-tetramethylbenzene",,,488-23-3,C10H14,Cc1ccc(C)c(C)c1C,https://doi.org/10.1039/C9SC01844A
"1,2,4-trichlorobenzene",,,120-82-1,C6H3Cl3,Clc1ccc(Cl)c(Cl)c1,https://doi.org/10.1039/C9SC01844A
"1,3-cyclohexadiene",,,592-57-4,C6H8,C1CC=CC=C1,https://doi.org/10.1039/C9SC01844A
"1,3-dibromobenzene",,,108-36-1,C6H4Br2,Brc1cccc(Br)c1,https://doi.org/10.1039/C9SC01844A
"1,3-dichlorobenzene",,,541-73-1,C6H4Cl2,Clc1cccc(Cl)c1,https://doi.org/10.1039/C9SC01844A
"1,3-dichloropropane",,,142-28-9,C3H6Cl2,ClCCCCl,https://doi.org/10.1039/C9SC01844A
"1,3-difluorobenzene",m-difluorobenzene,,372-18-9,C6H4F2,Fc1cccc(F)c1,https://doi.org/10.1039/C9SC01844A
"1,3-dimethylbenzene",,,108-38-3,C8H10,Cc1cccc(C)c1,https://doi.org/10.1039/C9SC01844A
"1,3-dimethyltetrahydropyrimidin-2(1H)-one",,,7226-23-5,C6H12N2O,CN1CCCN(C)C1=O,https://doi.org/10.1039/C9SC01844A
"1,3-dioxolan-2-one",,,96-49-1,C3H4O3,O=C1OCCO1,https://doi.org/10.1039/C9SC01844A
"1,3,3-trimethyl-2-oxabicyclo[2.2.2]octane","1,8-cineole",,470-82-6,C10H18O,CC12CCC(CC1)C(C)(C)O2,https://doi.org/10.1039/C9SC01844A
"1,3,5-trimethylbenzene",,,108-67-8,C9H12,Cc1cc(C)cc(C)c1,https://doi.org/10.1039/C9SC01844A
"1,4-butanediol","1,4-butadiol",,110-63-4,C4H10O2,OCCCCO,https://doi.org/10.1039/C9SC01844A
"1,4-cyclohexadiene",,,628-41-1,C6H8,C1C=CCC=C1,https://doi.org/10.1039/C9SC01844A
"1,4-dibromobenzene","1,4-dibrombenzene",,106-37-6,C6H4Br2,Brc1ccc(Br)cc1,https://doi.org/10.1039/C9SC01844A
"1,4-dibromobutane",,,110-52-1,C4H8Br2,BrCCCCBr,https://doi.org/10.1039/C9SC01844A
"1,4-dichlorobenzene",,,106-46-7,C6H4Cl2,Clc1ccc(Cl)cc1,https://doi.org/10.1039/C9SC01844A
"1,4-dichlorobutane",,,110-56-5,C4H8Cl2,ClCCCCCl,https://doi.org/10.1039/C9SC01844A
